,product name,price in rupees,rating,availability,link
10,MYYNTI Wall Hooks Heavy Duty Wall Sticker Hooks for Hanging 10KG (Max) Magic Stickers Hooks Transparent Self-Adhesive Hooks for Hanging Keys Coats Hats Bags Ceiling Hook Hook  (Pack of 20),299,3.7,available,https://flipkart.com/myynti-wall-hooks-heavy-duty-sticker-hanging-10kg-max-magic-stickers-transparent-self-adhesive-keys-coats-hats-bags-ceiling-hook/p/itm7f2f03d738bf7?pid=HOKG3MURZYPDDZ7J&lid=LSTHOKG3MURZYPDDZ7JWINEMJ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_5&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HOKG3MURZYPDDZ7J.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
11,"Zildjian ILHSTD Standard Gig Pack (14"" HiHats, 16"" Crash and 20"" Ride) Clash Cymbal",28500,2.7,available,https://flipkart.com/zildjian-ilhstd-standard-gig-pack-14-hihats-16-crash-20-ride-clash-cymbal/p/itmfca917e031734?pid=HNCFWWSWB9VQFMUZ&lid=LSTHNCFWWSWB9VQFMUZDKHIOH&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_6&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HNCFWWSWB9VQFMUZ.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
12,"All Those Hats Worn by One 20th Century American Woman  (English, Paperback, Weber Grace Shaw)",1430,2.2,available,https://flipkart.com/all-those-hats-worn-one-20th-century-american-woman/p/itmd3mh2sgzze9h2?pid=9781466231818&lid=LSTBOK9781466231818Y35N49&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_7&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.9781466231818.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
13,"Animal Hats to Knit: 20 Wild Projects for you to Create  (English, Paperback, Roberts Luise)",1421,2.2,available,https://flipkart.com/animal-hats-knit-20-wild-projects-you-create/p/itm3d53ea1016d32?pid=9781861089892&lid=LSTBOK9781861089892NC7GTJ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_8&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.9781861089892.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
14,"20 to Knit: Knitted Hats  (English, Paperback, Russel Monica)",693,2,available,https://flipkart.com/20-knit-knitted-hats/p/itmff94uharphtjg?pid=9781782214533&lid=LSTBOK978178221453334VXGN&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_9&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.9781782214533.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
15,"Workout,, Cycling Bike,, Fashion,, Athletic,, hiphop caps,, Running,, Unisex Caps, classic,, hats, hat,, Hip Hop,, Sports,, Free Size,, Baseball cap,, ,Skull,, Walking,, Flex Fit,, trucker caps, dad caps,, army green cap, snapback Cap,, ,black cap,, girls, boys,, Caps for men and womens,, Military Army, Basketball,, Stylish,, Cricket,, evergreen, Cap",289,3.9,available,https://flipkart.com/ilu-workout-cycling-bike-fashion-athletic-hiphop-caps-running-unisex-caps-classic-hats-hat-hip-hop-sports-free-size-baseball-cap-skull-walking-flex-fit-trucker-dad-army-green-cap-snapback-black-girls-boys-caps-men-womens-military-army-basketball-stylish-cricket-evergreen-cap/p/itm7b6cc3ab59aae?pid=CAPEPRJEBDNJCYH9&lid=LSTCAPEPRJEBDNJCYH9150F3E&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_10&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPEPRJEBDNJCYH9.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
16,"Futurekart Straw Large Brim Beach Floppy Oversize Fold Hat  (White, Pack of 1)",499,4.4,available,https://flipkart.com/futurekart-straw-large-brim-beach-floppy-oversize-fold-hat/p/itmfejyb4gsuxmaz?pid=HATFEJGREAHRZRP3&lid=LSTHATFEJGREAHRZRP3TSHVBX&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_11&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HATFEJGREAHRZRP3.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
17,"ZACHARIAS Fishermen Cotton Bucket Hat Cap  (Blue, Pack of 1)",299,3.8,available,https://flipkart.com/zacharias-fishermen-cotton-bucket-hat-cap/p/itmffhjpcrhuvfve?pid=HATFFJ53TACBRVTY&lid=LSTHATFFJ53TACBRVTYYHISNT&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_12&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.HATFFJ53TACBRVTY.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
18,PLAY-DOH Treatsies Single Servings Cupcake Character Tiny Food Toy Craft Kit with 3 Non-Toxic Cans,379,4.6,available,https://flipkart.com/play-doh-treatsies-single-servings-cupcake-character-tiny-food-toy-craft-kit-3-non-toxic-cans/p/itm2bfd976d7f704?pid=ACKFVG4WE8MZSFTF&lid=LSTACKFVG4WE8MZSFTFEINZ62&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_13&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFVG4WE8MZSFTF.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
19,PLAY-DOH Treatsies Single Servings Hot Dog Character Tiny Food Toy Craft Kit with 3 Non-Toxic Cans,379,4.6,available,https://flipkart.com/play-doh-treatsies-single-servings-hot-dog-character-tiny-food-toy-craft-kit-3-non-toxic-cans/p/itmd30ca13ca2fa8?pid=ACKFVG4WND97AJWZ&lid=LSTACKFVG4WND97AJWZP942TB&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_14&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFVG4WND97AJWZ.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
20,PLAY-DOH Treatsies Single Servings Bacon Character Tiny Food Toy Craft Kit with 3 Non-Toxic Cans,379,4.6,available,https://flipkart.com/play-doh-treatsies-single-servings-bacon-character-tiny-food-toy-craft-kit-3-non-toxic-cans/p/itm734ce81c5b4c2?pid=ACKFVG5BC4ZZYZBY&lid=LSTACKFVG5BC4ZZYZBYQLPQKZ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_15&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFVG5BC4ZZYZBY.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
21,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmff2652jnmreau?pid=CAPFFFPNZZPTHFZG&lid=LSTCAPFFFPNZZPTHFZGOMNNEU&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_16&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNZZPTHFZG.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
22,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmf2d807c0680b5?pid=CAPFFFPNGSCWUMRG&lid=LSTCAPFFFPNGSCWUMRGIFYKNJ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_17&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNGSCWUMRG.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
23,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmff265j2g4wzc2?pid=CAPFFFPNXYVVHHFQ&lid=LSTCAPFFFPNXYVVHHFQJGZPAM&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_18&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNXYVVHHFQ.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
24,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmff265tztqgxeu?pid=CAPFFFPNJQBN7CU5&lid=LSTCAPFFFPNJQBN7CU5C9RIHB&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_19&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNJQBN7CU5.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
